OrderID,OrderDate,CustomerName,Product,Category,Quantity,Price,City,State,PaymentMethod
100000,05/05/2024,Amit,Bottle,Home,-1.0,49.0,Mumbai,Maharashtra,
100001,17/02/2024,,Laptop,Electronics,1.0,199.99,Bengaluru,Karnataka,
100002,02/08/2024,,iPhone,Electronics,-1.0,-25.0,,,UPI
100003,20/03/2024,,iPhone,Electronics,3.0,49.0,Bengaluru,Karnataka,UPI
100004,2024-13-40,Amit,Chair,Furniture,0.0,49.0,Guwahati,Assam,
100005,2024-13-40,Priya,Laptop,Electronics,,49.0,Mumbai,Maharashtra,UPI
100006,2025-03-19,Sara,Bottle,Home,1.0,999.5,Guwahati,Assam,Cash
100007,2024-05-16,John,iPhone,Electronics,2.0,1500.0,Guwahati,Assam,Card
100008,18/12/2024,Priya,iPhone,Electronics,3.0,1500.0,Bengaluru,Karnataka,UPI
100009,2024-13-40,  Rahul  ,iPhone,Electronics,0.0,49.0,Mumbai,Maharashtra,
100010,,John,Bottle,Home,-1.0,,Delhi,Delhi,
100011,,John,Headphones,Electronics,,,,,Card
100012,2025-03-16,Priya,Headphones,Electronics,0.0,199.99,Mumbai,Maharashtra,NetBanking
100013,2024-13-40,Amit,Headphones,Electronics,4.0,-25.0,Bengaluru,Karnataka,UPI
100014,2024-13-40,,Bottle,Home,-1.0,-25.0,Mumbai,Maharashtra,Cash
100015,2024-13-40,Sara,Chair,Furniture,1.0,1500.0,Bengaluru,Karnataka,
100016,16/09/2024,  Rahul  ,Laptop,Electronics,3.0,1500.0,,,
100017,2024-01-10,Amit,Headphones,Electronics,3.0,,,,Cash
100018,,Amit,iPhone,Electronics,,199.99,Delhi,Delhi,
100019,2024-13-40,Sara,iPhone,Electronics,4.0,-25.0,,,Card
100020,2024-13-40,  Rahul  ,Headphones,Electronics,-1.0,999.5,,,Cash
100021,2024-04-25,,Chair,Furniture,1.0,999.5,Bengaluru,Karnataka,Card
100022,2024-11-19,Sara,Headphones,Electronics,1.0,1500.0,Mumbai,Maharashtra,Cash
100023,05/09/2024,,Laptop,Electronics,3.0,1500.0,Delhi,Delhi,
100024,,Priya,Headphones,Electronics,0.0,,Delhi,Delhi,NetBanking
100025,2024-01-28,Priya,Desk,Furniture,4.0,1500.0,Bengaluru,Karnataka,UPI
100026,,Sara,iPhone,Electronics,,,Delhi,Delhi,UPI
100027,2024-11-29,  Rahul  ,Chair,Furniture,1.0,199.99,,,Card
100028,,Priya,iPhone,Electronics,4.0,999.5,Bengaluru,Karnataka,UPI
100029,,John,Chair,Furniture,3.0,,Bengaluru,Karnataka,UPI
100030,2024-06-09,,Headphones,Electronics,1.0,1500.0,,,
100031,2024-02-05,Amit,iPhone,Electronics,1.0,999.5,,,UPI
100032,2024-11-13,Sara,Headphones,Electronics,,199.99,,,
100033,09/06/2024,John,Desk,Furniture,-1.0,1500.0,Delhi,Delhi,Cash
100034,2024-11-14,John,Chair,Furniture,1.0,,Mumbai,Maharashtra,Cash
100035,25/05/2024,John,iPhone,Electronics,2.0,49.0,Mumbai,Maharashtra,Cash
100036,2024-13-40,  Rahul  ,Headphones,Electronics,,199.99,,,Card
100037,2024-13-40,Amit,Desk,Furniture,-1.0,-25.0,Mumbai,Maharashtra,Cash
100038,,,iPhone,Electronics,0.0,49.0,,,UPI
100039,2024-01-23,,Laptop,Electronics,0.0,49.0,Bengaluru,Karnataka,Cash
100040,2024-08-06,,iPhone,Electronics,,1500.0,Bengaluru,Karnataka,Card
100041,,Amit,Headphones,Electronics,,-25.0,Guwahati,Assam,UPI
100042,2024-13-40,Sara,Desk,Furniture,2.0,1500.0,,,NetBanking
100043,14/05/2025,,headphones,Electronics,2.0,999.5,Delhi,Delhi,Cash
100044,19/02/2025,  Rahul  ,Chair,Furniture,0.0,1500.0,,,UPI
100045,23/04/2024,  Rahul  ,Chair,Furniture,0.0,,Mumbai,Maharashtra,Cash
